"","TSS","strand","evidence","genename"
"hipBp","1590506","reverse","experimental","c(""hipA"", "" hipB "")"
"hisBp","2091384","forward","experimental","c(""hisB"", "" hisH"", "" hisA"", "" hisF"", "" hisI "")"
"hisJp","2424859","reverse","experimental","c(""hisP"", "" hisM"", "" hisQ"", "" hisJ "")"
"hisSp","2638664","reverse","experimental","hisS "
"hiuHp6","2036864","forward","computitional","yedX "
"hnsp","1292181","reverse","experimental","hns "
"hokCp4","16951","reverse","computitional","hokC "
"holEp4","1923053","forward","computitional","holE "
"holEp5","1923044","forward","computitional","holE "
"holEp6","1923110","forward","computitional","holE "
"hptp","141360","forward","experimental","hpt "
"hscBp","2657546","reverse","experimental","c(""iscX"", "" fdx"", "" hscA"", "" hscB "")"
"hscCp5","682705","reverse","computitional","hscC "
"hslJp","1439804","reverse","experimental","hslJ "
"hsrAp4","3938666","reverse","computitional","hsrA "
"htrEp5","155438","reverse","computitional","htrE "
"hupBp2","460619","forward","experimental","hupB "
"hupBp3","460556","forward","experimental","hupB "
"hybOp1","3144385","reverse","experimental","c(""hybG"", "" hybF"", "" hybE"", "" hybD"", "" hybC"", "" hybB"", "" hybA"", "" hybO "")"
"hycIp4","2841124","reverse","computitional","hycI "
"hypFp2","2836036","reverse","experimental","hypF "
"hypFp3","2836127","reverse","experimental","hypF "
"iadAp3","4557560","reverse","computitional","iadA "
"icdAp1","1194231","forward","experimental","icd "
"icdAp2","1194184","forward","experimental","icd "
"idip4","3031061","forward","computitional","idi "
"idip5","3030960","forward","computitional","idi "
"idip7","3030965","forward","computitional","idi "
"idnkp","4492620","forward","experimental","idnK "
"ileSp1","21833","forward","experimental","c(""ileS"", "" lspA"", "" fkpB"", "" ispH "")"
"ileXp","3213619","forward","computitional","ileX "
"ilvCp","3955935","forward","experimental","ilvC "
"ilvIHp1","85597","forward","experimental","c(""ilvI"", "" ilvH "")"
"ilvLp1","3948241","forward","experimental","c(""ilvL"", "" ilvX"", "" ilvG_1"", "" ilvG_2"", "" ilvM"", "" ilvE"", "" ilvD"", "" ilvA "")"
"ilvLp2","3948313","forward","experimental","c(""ilvL"", "" ilvX"", "" ilvG_1"", "" ilvG_2"", "" ilvM"", "" ilvE"", "" ilvD"", "" ilvA "")"
"impp1","57156","reverse","experimental","lptD "
"impp2","57241","reverse","experimental","lptD "
"inaAp","2347521","reverse","experimental","inaA "
"infAp1","925908","reverse","experimental","infA "
"infAp2","925702","reverse","experimental","infA "
"infCp2","1798842","reverse","experimental","c(""rplT"", "" rpmI"", "" infC "")"
"insAp13","4516465","forward","computitional","insA-7 "
"insAp14","4516402","forward","computitional","insA-7 "
"insGp6","4501572","reverse","computitional","insG "
"insHp2","2065522","reverse","computitional","insH-6 "
"insHp3","3651291","reverse","computitional","insH-11 "
"insHp4","3128047","forward","computitional","c(""insH-2 "", ""insH-7 "", ""insH-9 "", ""insH-11 "")"
"insHp5","274522","reverse","computitional","c(""insH-1 "", ""insH-3 "", ""insH-7 "")"
"insHp6","2101073","reverse","computitional","insH-7 "
"insIp5","4506709","reverse","computitional","insI-3 "
"insLp5","15380","forward","computitional","insL-1 "
"intSp","2464537","forward","experimental","intS "
"intSp5","2464535","forward","computitional","intS "
"iraDp1","4554599","forward","experimental","iraD "
"iraMp2","1211346","reverse","experimental","iraM "
"iraPp1","400543","forward","experimental","iraP "
"iscRp","2660221","reverse","experimental","c(""iscA"", "" iscU"", "" iscS"", "" iscR "")"
"istR-1p","3851215","reverse","experimental","istr-1 "
"istR-2p","3851280","reverse","experimental","istr-2 "
"ivbLp","3851046","reverse","experimental","c(""ilvN"", "" ilvB"", "" ivbL "")"
"ivyp4","240319","forward","computitional","ivy "
"katGp","4131835","forward","experimental","katG "
"kbaZp","3276888","forward","experimental","c(""kbaZ"", "" agaV"", "" agaW"", "" agaA "")"
"kblp","3790600","reverse","experimental","c(""tdh"", "" kbl "")"
"kdgRp9","1908164","reverse","computitional","kdgR "
"kdpEp3","721117","reverse","computitional","kdpE "
"kdpFp","728072","reverse","computitional","c(""kdpC"", "" kdpB"", "" kdpA"", "" kdpF "")"
"kdsAp","1267077","forward","experimental","kdsA "
"kdsCp1","3340248","forward","experimental","c(""kdsC"", "" lptC"", "" lptA"", "" lptB "")"
"kdsCp2","3340032","forward","experimental","c(""kdsC"", "" lptC"", "" lptA"", "" lptB "")"
"kdsCp3","3339741","forward","experimental","c(""kdsC"", "" lptC"", "" lptA"", "" lptB "")"
"kduIp5","2982216","reverse","computitional","kduI "
"kgtPp6","2723831","reverse","computitional","kgtP "
"kgtPp8","2723834","reverse","computitional","kgtP "
"lacZp1","365567","reverse","experimental","c(""lacA"", "" lacY"", "" lacZ "")"
"ldrAp8","1268700","reverse","computitional","ldrA "
"ldrBp5","1269235","reverse","computitional","ldrB "
"ldrCp4","1269769","reverse","computitional","ldrC "
"leuEp4","1878791","reverse","computitional","leuE "
"leuLp","83735","reverse","experimental","c(""leuD"", "" leuC"", "" leuB"", "" leuA"", "" leuL "")"
"leuOp","84188","forward","experimental","leuO "
"leuQp","4604455","reverse","computitional","c(""leuV"", "" leuP"", "" leuQ "")"
"leuUp","3320300","reverse","computitional","leuU "
"leuVp2","4604175","reverse","computitional","leuV "
"leuXp","4494409","forward","computitional","leuX "
"leuZp3","1990074","reverse","computitional","c(""leuZ"", "" cysT "")"
"lexAp","4255110","forward","experimental","c(""lexA"", "" dinF "")"
"ligBp1","3819279","reverse","computitional","ligB "
"lipBp3","661622","reverse","computitional","lipB "
"litp8","1197813","forward","computitional","lit "
"litp9","1197891","forward","computitional","lit "
"livJp","3597785","reverse","experimental","livJ "
"livKp1","3595778","reverse","experimental","c(""livF"", "" livG"", "" livM"", "" livH"", "" livK "")"
"lldPp","3775312","forward","experimental","c(""lldP"", "" lldR"", "" lldD "")"
"lolCp5","1174622","forward","computitional","c(""lolC"", "" lolD"", "" lolE "")"
"lpdAp","127717","forward","experimental","lpd "
"lptAp2","3341321","forward","experimental","c(""lptA"", "" lptB "")"
"lptFp5","4484211","forward","computitional","c(""lptF"", "" lptG "")"
"lptFp6","4484145","forward","computitional","c(""lptF"", "" lptG "")"
"lpxCp1","106508","forward","computitional","lpxC "
"lrpp","931551","forward","experimental","lrp "
"lspAp","25014","forward","experimental","c(""lspA"", "" fkpB"", "" ispH "")"
"lsrRp","1599281","reverse","computitional","c(""lsrK"", "" lsrR "")"
"lysAp","2976973","reverse","computitional","lysA "
"lysCp1","4231562","reverse","experimental","lysC "
"lysCp2","4231639","reverse","experimental","lysC "
"lysPp","2246582","reverse","experimental","lysP "
"lysRp","2976972","forward","computitional","lysR "
"lysTp","779737","forward","computitional","c(""lysT"", "" valT"", "" lysW "")"
"lysUp1","4352828","reverse","experimental","lysU "
"maeAp3","1553766","reverse","computitional","maeA "
"makp4","409342","forward","computitional","mak "
"malEp","4244487","reverse","experimental","c(""malG"", "" malF"", "" malE "")"
"malIp","1697252","reverse","experimental","malI "
"malKp","4244759","forward","experimental","c(""malK"", "" lamB"", "" malM "")"
"malPp","3550532","reverse","computitional","c(""malQ"", "" malP "")"
"malSp","3735493","forward","experimental","malS "
"malTp","3551046","forward","experimental","malT "
"malXp","1697337","forward","experimental","c(""malX"", "" malY "")"
"manAp","1686575","forward","experimental","manA "
"manXp","1899957","forward","experimental","c(""manX"", "" manY"", "" manZ "")"
"marRp","1617117","forward","computitional","c(""marR"", "" marA"", "" marB "")"
"matAp10","310684","reverse","computitional","matA "
"matAp7","310706","reverse","computitional","matA "
"matAp9","310656","reverse","computitional","matA "
"matBp5","310021","reverse","computitional","matB "
"mcbAp5","841376","reverse","computitional","mcbA "
"mcrAp8","1209542","forward","computitional","mcrA "
"mcrAp9","1209546","forward","computitional","mcrA "
"mdaBp5","3170528","forward","computitional","mdaB "
"mdaBp7","3170429","forward","computitional","mdaB "
"mdhp1","3382335","reverse","experimental","mdh "
"mdoGp1","1108501","forward","experimental","c(""mdoG"", "" mdoH "")"
"melAp","4339910","forward","experimental","c(""melA"", "" melB "")"
"melRp","4339673","reverse","experimental","melR "
"menAp","4118429","reverse","experimental","c(""rraA"", "" menA "")"
"menBp","2374909","reverse","computitional","c(""menE"", "" menC"", "" menB "")"
"metAp2","4212182","forward","experimental","metA "
"metBp","4126659","forward","experimental","c(""metB"", "" metL "")"
"metCp","3150097","forward","computitional","metC "
"metFp","4130569","forward","experimental","metF "
"metHp","4221831","forward","computitional","metH "
"metJp2","4126552","reverse","experimental","metJ "
"metJp3","4126489","reverse","experimental","metJ "
"metKp","3084599","forward","experimental","metK "
"metNp","222714","reverse","computitional","c(""metQ"", "" metI"", "" metN "")"
"metTp","696386","reverse","computitional","c(""glnX"", "" glnV"", "" metU"", "" glnW"", "" glnU"", "" leuW"", "" metT "")"
"metYp1","3316319","reverse","experimental","c(""pnp"", "" rpsO"", "" truB"", "" rbfA"", "" infB"", "" nusA"", "" rimP"", "" metY "")"
"metYp2","3316397","reverse","experimental","c(""pnp"", "" rpsO"", "" truB"", "" rbfA"", "" infB"", "" nusA"", "" rimP"", "" metY "")"
"metZp","2945404","forward","experimental","c(""metZ"", "" metW"", "" metV "")"
"mfdp1","1173251","reverse","experimental","mfd "
"mfdp2","1173215","reverse","experimental","mfd "
"mglAp","2237413","reverse","computitional","c(""mglC"", "" mglA "")"
"mgrRp","1620938","reverse","experimental","mgrR "
"mgtAp1","4465386","forward","experimental","c(""mgtL"", "" mgtA "")"
"mgtAp2","4465303","forward","experimental","c(""mgtL"", "" mgtA "")"
"mhpAp","367743","forward","experimental","c(""mhpA"", "" mhpB"", "" mhpC"", "" mhpD"", "" mhpF"", "" mhpE "")"
"mhpRp","367752","reverse","experimental","c(""lacI"", "" mhpR "")"
"mhpRp1","367760","reverse","experimental","c(""lacI"", "" mhpR "")"
"miaAp1","4397075","forward","experimental","c(""miaA"", "" hfq"", "" hflX"", "" hflK"", "" hflC "")"
"micCp","1435145","forward","experimental","micC "
"micFp","2311106","forward","experimental","micF "
"micMp","506428","forward","experimental","micM "
"mlrAp6","2212771","forward","computitional","mlrA "
"mltAp6","2945295","reverse","computitional","mltA "
"mltDp3","234025","reverse","computitional","mltD "
"mltDp4","233982","reverse","computitional","mltD "
"mltFp","2693789","forward","computitional","mltF "
"mmuPp5","274511","forward","computitional","c(""mmuP"", "" mmuM "")"
"mmuPp7","274509","forward","computitional","c(""mmuP"", "" mmuM "")"
"mngRp","765149","reverse","computitional","mngR "
"mntHp","2510757","reverse","computitional","mntH "
"mntRp4","852358","forward","computitional","c(""mntR"", "" ybiR "")"
"mntRp5","852306","forward","computitional","c(""mntR"", "" ybiR "")"
"mntRp6","852303","forward","computitional","c(""mntR"", "" ybiR "")"
"mocAp9","3013078","forward","computitional","mocA "
"modAp","794285","forward","experimental","c(""modA"", "" modB"", "" modC "")"
"moeAp","865617","reverse","experimental","c(""moeB"", "" moeA "")"
"mokBp3","1490329","reverse","computitional","mokB "
"molR_1p","2194466","forward","computitional","molR_1 "
"mpaAp2","1388661","reverse","computitional","mpaA "
"mplp2","4453783","forward","computitional","mpl "
"mppAp13","1391145","forward","computitional","mppA "
"mppAp9","1391163","forward","computitional","mppA "
"mprAp","2808769","forward","experimental","c(""mprA"", "" emrA"", "" emrB "")"
"mqop5","2304880","reverse","computitional","mqo "
"mqop8","2304868","reverse","computitional","mqo "
"mqsAp8","3166311","reverse","computitional","mqsA "
"mqsAp9","3166393","reverse","computitional","mqsA "
"mqsRp","3166675","reverse","experimental","c(""mqsA"", "" mqsR "")"
"mqsRp2","3166584","reverse","experimental","c(""mqsA"", "" mqsR "")"
"mraZp","89596","forward","experimental","c(""mraZ"", "" rsmH"", "" ftsL"", "" ftsI"", "" murE"", "" murF"", "" mraY"", "" murD"", "" ftsW"", "" murG"", "" murC"", "" ddlB"", "" ftsQ"", "" ftsA"", "" ftsZ"", "" lpxC "")"
"mreBp1","3399151","reverse","experimental","c(""mreD"", "" mreC"", "" mreB "")"
"mreBp3","3399378","reverse","experimental","c(""mreD"", "" mreC"", "" mreB "")"
"mreDp2","3397105","reverse","computitional","mreD "
"msrBp6","1860490","reverse","computitional","msrB "
"mtgAp4","3347853","reverse","computitional","mtgA "
"mtlAp","3770211","forward","computitional","c(""mtlA"", "" mtlD"", "" mtlR "")"
"mtrp2","3303882","reverse","experimental","mtr "
"mugp6","3213518","reverse","computitional","mug "
"murQp2","2543763","forward","experimental","c(""murQ"", "" murP "")"
"mutHp7","2967636","forward","computitional","mutH "
"mutLp1","4395123","forward","experimental","c(""mutL"", "" miaA"", "" hfq"", "" hflX"", "" hflK"", "" hflC "")"
"nadBp","2708379","forward","computitional","nadB "
"nadEp","1820326","forward","experimental","nadE "
"nadKp2","2748785","forward","computitional","nadK "
"nagBp","702931","reverse","experimental","c(""nagD"", "" nagC"", "" nagA"", "" nagB "")"
"nagCp1","701088","reverse","experimental","nagC "
"nagCp2","701231","reverse","experimental","nagC "
"nagEp","703063","forward","experimental","nagE "
"nagKp3","1177763","forward","computitional","c(""nagK"", "" cobB "")"
"nanAp","3371642","reverse","experimental","c(""yhcH"", "" nanK"", "" nanE"", "" nanT"", "" nanA "")"
"nanRp10","3372698","reverse","computitional","nanR "
"nanRp9","3372725","reverse","computitional","nanR "
"napFp1","2301596","reverse","experimental","c(""ccmH"", "" ccmG"", "" ccmF"", "" ccmE"", "" ccmD"", "" ccmC"", "" ccmB"", "" ccmA"", "" napC"", "" napB"", "" napH"", "" napG"", "" napA"", "" napD"", "" napF "")"
"napFp2","2301599","reverse","experimental","c(""ccmH"", "" ccmG"", "" ccmF"", "" ccmE"", "" ccmD"", "" ccmC"", "" ccmB"", "" ccmA"", "" napC"", "" napB"", "" napH"", "" napG"", "" napA"", "" napD"", "" napF "")"
"narGp","1279030","forward","experimental","c(""narG"", "" narH"", "" narJ"", "" narI "")"
"narKp1","1277155","forward","experimental","narK "
"narKp2","1277044","forward","experimental","narK "
"narUp1","1542148","reverse","computitional","narU "
"narXp","1277000","reverse","computitional","c(""narL"", "" narX "")"
"narZp","1540714","reverse","computitional","c(""narV"", "" narW"", "" narY"", "" narZ "")"
"ndhp","1165215","forward","experimental","ndh "
"ndkp4","2642982","reverse","computitional","ndk "
"nemRp","1724045","forward","experimental","c(""nemR"", "" nemA "")"
"nfop","2248828","forward","experimental","nfo "
"nfsBp","604676","reverse","computitional","nfsB "
"nhaAp1","17458","forward","experimental","c(""nhaA"", "" nhaR "")"
"nhaBp7","1233990","reverse","computitional","nhaB "
"nirBp","3492009","forward","experimental","c(""nirB"", "" nirD"", "" nirC"", "" cysG "")"
"nlpCp5","1790784","reverse","computitional","nlpC "
"nlpDp1","2866851","reverse","experimental","c(""rpoS"", "" nlpD "")"
"nlpDp2","2866804","reverse","experimental","c(""rpoS"", "" nlpD "")"
"nohAp","1634627","reverse","computitional","c(""tfaQ"", "" ydfN"", "" nohA "")"
"nrdAp","2342777","forward","experimental","c(""nrdA"", "" nrdB"", "" yfaE "")"
"nrdDp","4460861","reverse","experimental","c(""nrdG"", "" nrdD "")"
"nrdRp","432201","forward","computitional","c(""nrdR"", "" ribD"", "" ribE"", "" nusB"", "" thiL"", "" pgpA "")"
"nrfAp","4285694","forward","experimental","c(""nrfA"", "" nrfB"", "" nrfC"", "" nrfD"", "" nrfE"", "" nrfF"", "" nrfG "")"
"nudBp","1946698","reverse","computitional","c(""ruvC"", "" yebC"", "" nudB "")"
"nudCp2","4194742","forward","computitional","c(""nudC"", "" hemE"", "" nfi "")"
"nudCp5","4194737","forward","computitional","c(""nudC"", "" hemE"", "" nfi "")"
"nudEp6","3524268","reverse","computitional","nudE "
"nudEp8","3524265","reverse","computitional","nudE "
"nudIp3","2362547","forward","computitional","nudI "
"nuoAp2","2403184","reverse","experimental","c(""nuoN"", "" nuoM"", "" nuoL"", "" nuoK"", "" nuoJ"", "" nuoI"", "" nuoH"", "" nuoG"", "" nuoF"", "" nuoE"", "" nuoC"", "" nuoB"", "" nuoA "")"
"nuoNp1","2389739","reverse","computitional","nuoN "
"nupCp","2511031","forward","experimental","nupC "
"nupGp","3103673","forward","experimental","nupG "
"ogrKp5","2165572","reverse","computitional","ogrK "
"ohsCp","2698540","forward","experimental","ohsC "
"ompAp1","1019414","reverse","experimental","ompA "
"ompCp1","2310852","reverse","experimental","ompC "
"ompFp","986315","reverse","experimental","ompF "
"ompNp3","1435103","reverse","computitional","ompN "
"ompNp4","1435008","reverse","computitional","ompN "
"ompNp6","1435082","reverse","computitional","ompN "
"ompRp1","3534729","reverse","experimental","c(""envZ"", "" ompR "")"
"ompRp2","3534707","reverse","experimental","c(""envZ"", "" ompR "")"
"ompRp3","3534661","reverse","experimental","c(""envZ"", "" ompR "")"
"ompRp4","3534777","reverse","experimental","c(""envZ"", "" ompR "")"
"ompXp1","849432","forward","experimental","ompX "
"opgBp7","4597517","reverse","computitional","mdoB "
"opgDp7","1494706","forward","computitional","mdoD "
"opgDp9","1494800","forward","computitional","mdoD "
"ornp5","4389607","forward","computitional","orn "
"osmCp1","1554620","forward","experimental","osmC "
"oxySp","4156417","reverse","computitional","oxyS "
"paaAp","1451889","forward","experimental","c(""paaA"", "" paaB"", "" paaC"", "" paaD"", "" paaE"", "" paaF"", "" paaG"", "" paaH"", "" paaI"", "" paaJ"", "" paaK "")"
"paaXp","1461533","forward","experimental","c(""paaX"", "" paaY "")"
"pabAp1","3488873","reverse","experimental","pabA "
"panBp","149630","reverse","computitional","c(""panC"", "" panB "")"
"panCp4","148910","reverse","computitional","panC "
"parCp4","3164052","reverse","computitional","parC "
"pbpGp5","2223088","reverse","computitional","pbpG "
"pbpGp7","2222963","reverse","computitional","pbpG "
"pckp","3530701","forward","experimental","pck "
"pcnBp1","159151","reverse","experimental","c(""folK"", "" pcnB "")"
"pcnBp2","159195","reverse","experimental","c(""folK"", "" pcnB "")"
"pepAp1","4484162","reverse","experimental","pepA "
"pepAp2","4484135","reverse","experimental","pepA "
"pepAp3","4484124","reverse","experimental","pepA "
"pepDp3","255737","reverse","experimental","pepD "
"pflAp8","950451","reverse","computitional","pflA "
"pflDp3","4141976","forward","computitional","c(""pflD"", "" pflC "")"
"pgkp1","3070879","reverse","experimental","c(""fbaA"", "" pgk "")"
"pgkp3","3070757","reverse","experimental","c(""fbaA"", "" pgk "")"
"pgpBp4","1337259","forward","computitional","pgpB "
"pgpBp6","1337186","forward","computitional","pgpB "
"pgpBp7","1337332","forward","computitional","pgpB "
"pheLp","2735601","forward","experimental","c(""pheL"", "" pheA "")"
"phePp","601152","forward","experimental","pheP "
"pheUp","4360650","reverse","computitional","pheU "
"pheVp","3108387","forward","computitional","pheV "
"phnCp","4323229","reverse","experimental","c(""phnP"", "" phnO"", "" phnN"", "" phnM"", "" phnL"", "" phnK"", "" phnJ"", "" phnI"", "" phnH"", "" phnG"", "" phnF"", "" phnE_2"", "" phnE_1"", "" phnD"", "" phnC "")"
"phoAp","400931","forward","computitional","c(""phoA"", "" psiF "")"
"phoBp","416325","forward","computitional","c(""phoB"", "" phoR "")"
"phoEp","259382","reverse","experimental","phoE "
"phoHp1","1084088","forward","experimental","phoH "
"phoUp","3905688","reverse","experimental","phoU "
"phoUp2","3905669","reverse","computitional","phoU "
"pinEp1","1208750","forward","computitional","pinE "
"pitBp","3134425","reverse","computitional","pitB "
"pldAp","4002837","forward","computitional","pldA "
"pldBp4","4007046","forward","computitional","c(""pldB"", "" yigL "")"
"pmrDp3","2371596","reverse","computitional","pmrD "
"pmrDp4","2371588","reverse","computitional","pmrD "
"pncBp","989637","reverse","experimental","pncB "
"pnpp","3309348","reverse","experimental","pnp "
"pntAp","1675999","reverse","computitional","c(""pntB"", "" pntA "")"
"polBp","65803","reverse","computitional","polB "
"potDp5","1182071","reverse","computitional","potD "
"potDp6","1182073","reverse","computitional","potD "
"ppdDp","117705","reverse","computitional","c(""hofC"", "" hofB"", "" ppdD "")"
"pphBp1","2857759","forward","computitional","pphB "
"ppiAp1","3490357","reverse","experimental","ppiA "
"ppiAp2","3490417","reverse","computitional","ppiA "
"ppiAp3","3490452","reverse","computitional","ppiA "
"ppiAp4","3490471","reverse","computitional","ppiA "
"ppiDp2","461043","forward","experimental","ppiD "
"ppsRp6","1785407","forward","computitional","ppsR "
"ppsRp8","1785375","forward","computitional","ppsR "
"ppsp","1785185","reverse","experimental","ppsA "
"pptAp6","239293","forward","computitional","pptA "
"prfCp4","4607379","forward","computitional","prfC "
"proBp8","259440","forward","computitional","c(""proB"", "" proA "")"
"proKp","3706717","reverse","computitional","proK "
"proLp","2284229","forward","computitional","proL "
"proPp1","4328343","forward","experimental","proP "
"proSp","218837","reverse","experimental","proS "
"proVp2","2802621","forward","experimental","c(""proV"", "" proW"", "" proX "")"
"proVp3","2802777","forward","experimental","c(""proV"", "" proW"", "" proX "")"
"prpRp","347695","reverse","computitional","prpR "
"prsp","1261400","reverse","experimental","prs "
"psiEp","4238323","forward","experimental","psiE "
"pspFp1","1365969","reverse","experimental","pspF "
"pspFp2","1365953","reverse","experimental","pspF "
"pspFp3","1366064","reverse","experimental","pspF "
"pssAp4","2720600","forward","computitional","pssA "
"pssAp6","2720689","forward","computitional","pssA "
"pstBp","3906470","reverse","computitional","c(""phoU"", "" pstB "")"
"pthp","1257765","reverse","experimental","c(""ychF"", "" pth "")"
"ptsHp2","2531623","forward","experimental","c(""ptsH"", "" ptsI"", "" crr "")"
"ptsHp4","2531523","forward","experimental","c(""ptsH"", "" ptsI"", "" crr "")"
"purAp","4402687","forward","experimental","purA "
"purCp","2595803","reverse","experimental","purC "
"purEp","552365","reverse","experimental","c(""purK"", "" purE "")"
"purHp","4205650","reverse","experimental","c(""purD"", "" purH "")"
"purLp","2693611","reverse","experimental","purL "
"purMp","2619175","forward","experimental","c(""purM"", "" purN "")"
"purRp","1735713","forward","experimental","purR "
"purTp3","1928879","forward","computitional","purT "
"purUp3","1287974","reverse","computitional","purU "
"purUp4","1287979","reverse","computitional","purU "
"purUp5","1287976","reverse","computitional","purU "
"putAp","1078148","reverse","experimental","putA "
"putPp1","1078391","forward","experimental","putP "
"pykFp","1753491","forward","computitional","pykF "
"pyrCp","1121866","reverse","experimental","pyrC "
"pyrDp","1003955","forward","experimental","pyrD "
"pyrFp","1339894","forward","experimental","c(""pyrF"", "" yciH "")"
"qseBp1","3167823","forward","experimental","c(""qseB"", "" qseC "")"
"qseBp2","3167773","forward","experimental","c(""qseB"", "" qseC "")"
"qseDp4","4556340","reverse","computitional","qseD "
"racRp3","1418268","reverse","computitional","racR "
"racRp4","1418473","reverse","computitional","racR "
"racRp5","1418266","reverse","computitional","racR "
"rarDp1","4002250","reverse","computitional","rarD "
"rarDp2","4002254","reverse","computitional","rarD "
"rarDp3","4002281","reverse","computitional","rarD "
"rbnp4","2379603","forward","computitional","rbn "
"rbsDp","3931345","forward","experimental","c(""rbsD"", "" rbsA"", "" rbsC"", "" rbsB"", "" rbsK"", "" rbsR "")"
"rcnAp","2183849","forward","experimental","c(""rcnA"", "" rcnB "")"
"rcnRp","2183925","reverse","experimental","rcnR "
"rcsAp","2021860","forward","experimental","rcsA "
"rcsBp1","2313717","forward","experimental","rcsB "
"rcsBp2","2313997","forward","experimental","rcsB "
"rcsDp","2311474","forward","experimental","c(""rcsD"", "" rcsB "")"
"rdlAp5","1268546","forward","computitional","rdlA "
"rdlBp4","1269079","forward","computitional","rdlB "
"rdlCp3","1269614","forward","computitional","rdlC "
"rdlDp","3698159","forward","experimental","rdlD "
"rdoAp","4040414","forward","experimental","c(""rdoA"", "" dsbA "")"
"recAp","2821841","reverse","experimental","c(""recX"", "" recA "")"
"recNp","2749781","forward","computitional","recN "
"recQp2","4003856","forward","computitional","recQ "
"relAp1","2911851","reverse","experimental","c(""chpA"", "" chpR"", "" relA "")"
"relAp2","2912299","reverse","experimental","c(""chpA"", "" chpR"", "" relA "")"
"relBp","1643927","reverse","experimental","c(""hokD"", "" relE"", "" relB "")"
"remp2","1642999","reverse","computitional","rem "
"rfaDp1","3791962","forward","experimental","c(""rfaD"", "" waaF"", "" waaC"", "" rfaL "")"
"rfaHp4","4022896","reverse","computitional","rfaH "
"rfaHp5","4022988","reverse","computitional","rfaH "
"rfaYp","3799159","reverse","experimental","c(""rfaZ"", "" waaY "")"
"rfbXp6","2107610","reverse","computitional","rfbX "
"rfbXp7","2107742","reverse","computitional","rfbX "
"rfbXp8","2107740","reverse","computitional","rfbX "
"rfcp10","2105307","reverse","computitional","rfc "
"rfcp11","2105468","reverse","computitional","rfc "
"rfcp8","2105258","reverse","computitional","rfc "
"rfep","3965823","forward","computitional","c(""rfe"", "" wzzE"", "" rffE"", "" rffD"", "" rffG"", "" rffH"", "" rffC"", "" rffA"", "" wzxE"", "" rffT"", "" wzyE"", "" rffM "")"
"rhaBp","4095495","reverse","experimental","c(""rhaD"", "" rhaA"", "" rhaB "")"
"rhaTp","4098589","reverse","experimental","rhaT "
"rhmAp3","2356968","reverse","computitional","yfaU "
"rhsBp10","3617136","forward","computitional","rhsB "
"rhsBp11","3617026","forward","computitional","rhsB "
"rhsBp8","3617201","forward","computitional","rhsB "
"rhsDp8","522290","forward","computitional","c(""rhsD"", "" ybbC"", "" ylbH"", "" ybbD "")"
"rhtAp8","849527","reverse","computitional","rhtA "
"ribAp1","1337214","reverse","experimental","ribA "
"ribAp2","1337258","reverse","experimental","ribA "
"ribCp5","1741482","reverse","computitional","ribC "
"ribFp","21383","forward","experimental","c(""ribF"", "" ileS"", "" lspA"", "" fkpB"", "" ispH "")"
"rihBp","2253274","reverse","experimental","rihB "
"rimKp","891099","forward","experimental","c(""rimK"", "" ybjN "")"
"rimPp","3316197","reverse","experimental","c(""infB"", "" nusA"", "" rimP "")"
"rlmAp9","1905110","reverse","computitional","rrmA "
"rlmEp1","3325782","reverse","experimental","c(""ftsH"", "" rlmE "")"
"rlmFp7","841447","forward","computitional","rlmF "
"rlmIp4","1029224","reverse","computitional","rlmI "
"rlpAp7","664436","reverse","computitional","rlpA "
"rmfp4","1014755","forward","computitional","rmf "
"rmfp5","1014726","forward","computitional","rmf "
"rnbp1","1347153","reverse","experimental","rnb "
"rnbp2","1346968","reverse","experimental","rnb "
"rncp","2702245","reverse","experimental","c(""acpS"", "" pdxJ"", "" recO"", "" era"", "" rnc "")"
"rndp","1886085","reverse","experimental","rnd "
"rnep1","1143951","reverse","experimental","rne "
"rnep2","1143985","reverse","experimental","rne "
"rnep3","1144096","reverse","experimental","rne "
"rnkp6","643278","reverse","computitional","rnk "
"rnlAp2","2763916","forward","experimental","rnlA "
"rnlBp2","2764882","forward","experimental","rnlB "
"rodZp1","2640954","reverse","computitional","rodZ "
"rodZp2","2640956","reverse","computitional","rodZ "
"rpiBp","4311280","forward","experimental","rpiB "
"rplMp","3376694","reverse","computitional","c(""rpsI"", "" rplM "")"
"rplUp","3331540","reverse","computitional","c(""rpmA"", "" rplU "")"
"rplYp3","2280455","forward","computitional","rplY "
"rplYp5","2280459","forward","computitional","rplY "
"rplYp6","2280460","forward","computitional","rplY "
"rpmAp4","3331247","reverse","computitional","rpmA "
"rpmIp","1798451","reverse","experimental","c(""rplT"", "" rpmI "")"
"rpoDp1","3210495","forward","experimental","rpoD "
"rpoDp2","3210659","forward","experimental","rpoD "
"rpoHp2","3598887","reverse","experimental","rpoH "
"rpoHp4","3598886","reverse","experimental","rpoH "
"rpoHp5","3598872","reverse","experimental","rpoH "
"rpoNp","3342684","forward","computitional","c(""rpoN"", "" hpf"", "" ptsN"", "" yhbJ"", "" npr "")"
"rpoSp","2866140","reverse","experimental","rpoS "
"rpoZp","3820100","forward","computitional","c(""rpoZ"", "" spoT"", "" trmH"", "" recG "")"
"rpsBp","189712","forward","experimental","c(""tff"", "" rpsB"", "" tsf "")"
